,index,sensor_id,latitude,longitude,radius,wheelchair_yes,wheelchair_limited,wheelchair_no
73,73,717493,34.15434,-118.39618,500.0,4.0,0.0,0.0
74,74,765176,34.13286,-118.35135,500.0,0.0,0.0,0.0
75,75,717498,34.15571,-118.43273,500.0,0.0,0.0,0.0
76,76,717499,34.15666,-118.44808,500.0,1.0,0.0,0.0
77,77,765171,34.16789,-118.46896,500.0,0.0,0.0,0.0
78,78,718064,34.11296,-118.24489,500.0,0.0,0.0,0.0
79,79,718066,34.12302,-118.22889,500.0,0.0,0.0,0.0
80,80,765164,34.07898,-118.28911,500.0,0.0,0.0,0.0
81,81,769431,34.15843,-118.45664,500.0,0.0,0.0,0.0
82,82,769430,34.15818,-118.45658,500.0,0.0,0.0,0.0
83,83,717610,34.17886,-118.39497,500.0,0.0,0.0,0.0
84,84,767053,34.17091,-118.46775,500.0,0.0,0.0,0.0
85,85,767621,34.13486,-118.22969,500.0,0.0,0.0,0.0
86,86,772596,34.17126,-118.50495,500.0,1.0,0.0,0.0
87,87,772597,34.17109,-118.50495,500.0,1.0,0.0,0.0
88,88,767350,34.18011,-118.47045,500.0,5.0,0.0,0.0
89,89,767351,34.18022,-118.47022,500.0,5.0,0.0,0.0
90,90,716571,34.2,-118.40337,500.0,0.0,0.0,0.0
91,91,773023,34.05773,-118.24348,500.0,23.0,0.0,1.0
92,92,767585,34.16556,-118.22432,500.0,3.0,0.0,0.0
93,93,773024,34.05759,-118.24357,500.0,24.0,0.0,1.0
94,94,717483,34.11684,-118.33698,500.0,2.0,0.0,0.0
95,95,718379,34.14224,-118.27812,500.0,0.0,0.0,0.0
96,96,717481,34.10634,-118.32826,500.0,0.0,0.0,0.0
97,97,717480,34.10478,-118.32497,500.0,1.0,0.0,1.0
98,98,717486,34.12974,-118.34809,500.0,0.0,0.0,0.0
99,99,764120,34.20164,-118.40366,500.0,0.0,0.0,0.0
100,100,772151,34.16928,-118.49872,500.0,1.0,0.0,0.0
101,101,718371,34.09017,-118.23849,500.0,0.0,0.0,0.0
102,102,717489,34.13876,-118.36438,500.0,8.0,0.0,0.0
103,103,717488,34.13561,-118.36006,500.0,10.0,0.0,0.0
104,104,717818,34.1722,-118.46753,500.0,0.0,0.0,0.0
105,105,718076,34.16339,-118.2253,500.0,2.0,0.0,0.0
106,106,718072,34.1491,-118.2257,500.0,0.0,0.0,0.0
107,107,767455,34.14347,-118.22704,500.0,0.0,0.0,0.0
108,108,767454,34.14352,-118.22733,500.0,0.0,0.0,0.0
109,109,761599,34.14226,-118.27786,500.0,0.0,0.0,0.0
110,110,717099,34.15648,-118.24674,500.0,1.0,0.0,0.0
111,111,773916,34.15247,-118.2852,500.0,0.0,0.0,0.0
112,112,716968,34.16588,-118.29809,500.0,0.0,0.0,0.0
113,113,769467,34.15451,-118.39699,500.0,3.0,0.0,0.0
114,114,717576,34.15559,-118.2957,500.0,2.0,0.0,1.0
115,115,717573,34.15384,-118.325,500.0,1.0,0.0,0.0
116,116,717572,34.15351,-118.32751,500.0,1.0,0.0,0.0
117,117,717571,34.15326,-118.35921,500.0,0.0,0.0,0.0
118,118,717570,34.15302,-118.35921,500.0,0.0,0.0,0.0
119,119,764760,34.13401,-118.35506,500.0,6.0,0.0,0.0
120,120,718089,34.12769,-118.27372,500.0,0.0,0.0,0.0
121,121,769847,34.20983,-118.22351,500.0,0.0,0.0,0.0
122,122,717608,34.17154,-118.38812,500.0,0.0,0.0,0.0
123,123,767523,34.11439,-118.24209,500.0,1.0,0.0,0.0
124,124,716942,34.0593,-118.21451,500.0,0.0,0.0,0.0
125,125,718090,34.14847,-118.27969,500.0,0.0,0.0,0.0
126,126,769867,34.21846,-118.23931,500.0,0.0,0.0,1.0
127,127,717472,34.10045,-118.31601,500.0,0.0,0.0,0.0
128,128,717473,34.10054,-118.31581,500.0,0.0,0.0,0.0
129,129,759591,34.11521,-118.26825,500.0,0.0,0.0,0.0
130,130,764781,34.16037,-118.47012,500.0,0.0,0.0,0.0
131,131,765099,34.16378,-118.47224,500.0,0.0,0.0,0.0
132,132,762329,34.13904,-118.22862,500.0,0.0,0.0,0.0
133,133,716953,34.09458,-118.24279,500.0,0.0,0.0,0.0
134,134,716951,34.08581,-118.23182,500.0,0.0,0.0,0.0
135,135,767509,34.11059,-118.24819,500.0,0.0,0.0,0.0
136,136,765182,34.06491,-118.25126,500.0,0.0,0.0,0.0
137,137,769358,34.15679,-118.42222,500.0,0.0,0.0,0.0
138,138,772513,34.06871,-118.23661,500.0,0.0,0.0,1.0
139,139,716958,34.11167,-118.26501,500.0,1.0,0.0,0.0
140,140,718496,34.15403,-118.34232,500.0,7.0,0.0,0.0
141,141,769346,34.15677,-118.40424,500.0,0.0,0.0,0.0
142,142,773904,34.15641,-118.30266,500.0,0.0,0.0,0.0
143,143,718499,34.15469,-118.31253,500.0,0.0,0.0,0.0
144,144,764853,34.06461,-118.25102,500.0,0.0,0.0,0.0
145,145,761003,34.15546,-118.30841,500.0,0.0,0.0,0.0
146,146,717502,34.16521,-118.47484,500.0,0.0,0.0,0.0
147,147,759602,34.12199,-118.27178,500.0,1.0,0.0,0.0
148,148,717504,34.16519,-118.49166,500.0,0.0,0.0,0.0
149,149,763995,34.21979,-118.40931,500.0,0.0,0.0,0.0
150,150,717508,34.17112,-118.51814,500.0,0.0,0.0,0.0
151,151,765265,34.18529,-118.47395,500.0,7.0,0.0,0.0
152,152,773996,34.14511,-118.21587,500.0,0.0,0.0,0.0
153,153,773995,34.14483,-118.21587,500.0,0.0,0.0,0.0
154,154,717469,34.0971,-118.31366,500.0,0.0,0.0,0.0
155,155,717468,34.09699,-118.31381,500.0,0.0,0.0,0.0
156,156,764106,34.17169,-118.38801,500.0,0.0,0.0,0.0
157,157,717465,34.09373,-118.30907,500.0,0.0,0.0,0.0
158,158,764794,34.16028,-118.46808,500.0,0.0,0.0,0.0
159,159,717466,34.09359,-118.30918,500.0,0.0,0.0,0.0
160,160,717461,34.08558,-118.30174,500.0,0.0,0.0,0.0
161,161,717460,34.08571,-118.30161,500.0,0.0,0.0,0.0
162,162,717463,34.09004,-118.3059,500.0,0.0,0.0,0.0
163,163,717462,34.08993,-118.30607,500.0,0.0,0.0,0.0
164,164,769345,34.15655,-118.40441,500.0,1.0,0.0,0.0
165,165,716943,34.05987,-118.21492,500.0,0.0,0.0,0.0
166,166,772669,34.07828,-118.22834,500.0,0.0,0.0,0.0
167,167,717582,34.15646,-118.26092,500.0,2.0,0.0,1.0
168,168,717583,34.15627,-118.25506,500.0,6.0,0.0,0.0
169,169,717580,34.1562,-118.26359,500.0,1.0,0.0,1.0
170,170,716949,34.08406,-118.22974,500.0,0.0,0.0,0.0
171,171,717587,34.15402,-118.23893,500.0,0.0,0.0,0.0
172,172,772178,34.16903,-118.49885,500.0,1.0,0.0,0.0
173,173,717585,34.15564,-118.24188,500.0,0.0,0.0,0.0
174,174,716939,34.04301,-118.21724,500.0,0.0,0.0,0.0
175,175,768469,34.13583,-118.35993,500.0,11.0,0.0,0.0
176,176,764101,34.16421,-118.38246,500.0,0.0,0.0,0.0
177,177,767554,34.11966,-118.23143,500.0,0.0,0.0,0.0
178,178,773975,34.14584,-118.22251,500.0,0.0,0.0,0.0
179,179,773974,34.14559,-118.22251,500.0,0.0,0.0,0.0
180,180,717510,34.17128,-118.51976,500.0,0.0,0.0,0.0
181,181,717513,34.17339,-118.5368,500.0,0.0,0.0,0.0
182,182,717825,34.22164,-118.47307,500.0,0.0,0.0,0.0
183,183,767495,34.10377,-118.24992,500.0,0.0,0.0,0.0
184,184,767494,34.10377,-118.24962,500.0,0.0,0.0,0.0
185,185,717821,34.20112,-118.47361,500.0,0.0,0.0,0.0
186,186,717823,34.20264,-118.47326,500.0,0.0,0.0,0.0
187,187,717458,34.08265,-118.29755,500.0,3.0,0.0,1.0
188,188,717459,34.08294,-118.29729,500.0,4.0,0.0,1.0
189,189,769926,34.21356,-118.23113,500.0,0.0,0.0,0.0
190,190,764858,34.1527,-118.3754,500.0,0.0,0.0,0.0
191,191,717450,34.07488,-118.27362,500.0,0.0,0.0,0.0
192,192,717452,34.07502,-118.27356,500.0,0.0,0.0,0.0
193,193,717453,34.07696,-118.28093,500.0,0.0,0.0,0.0
194,194,759772,34.17115,-118.30539,500.0,4.0,0.0,0.0
195,195,717456,34.08102,-118.29325,500.0,0.0,0.0,0.0
196,196,771673,34.07787,-118.22871,500.0,0.0,0.0,0.0
197,197,772167,34.16526,-118.47985,500.0,0.0,0.0,0.0
198,198,769372,34.1027,-118.3173,500.0,0.0,0.0,0.0
199,199,774204,34.15397,-118.34172,500.0,5.0,0.0,0.0
200,200,769806,34.19638,-118.18442,500.0,0.0,0.0,0.0
201,201,717590,34.14929,-118.23182,500.0,0.0,0.0,0.0
202,202,717592,34.14604,-118.2243,500.0,0.0,0.0,0.0
203,203,717595,34.14163,-118.1829,500.0,0.0,0.0,0.0
204,204,772168,34.16542,-118.47985,500.0,0.0,0.0,0.0
205,205,718141,34.15133,-118.37456,500.0,0.0,0.0,0.0
206,206,769373,34.10262,-118.31747,500.0,0.0,0.0,0.0
